,id,completionDate,completionDateType,summary,description,conditions,studyType,eligibilityCriteria,healthyVolunteers,sex,minimumAge,maximumAge,references
286365,NCT00436514,2009-07,ACTUAL,"Colorectal cancer is one of the most frequent and it prognosis is still serious. In France, diagnosis and screening applicated in numerous departements, and now in a path of generalization to the all country, is based on combination of searching blood into bowel movements (Haemoccult) for the screening of population with medium risk (age between 50 to 74 years old)and colonoscopy for the screening and diagnosis of pre-cancerous lesions for the patients with a high risk.Even if the efficiency of this strategy is proved, searching blood into the bowel movement by Haemoccult is still imperfect (a lot of false negative). Colonoscopy is not an ideal tool for screening. Indeed, its acceptability is not perfect and it constitute an invasive method, with complications, with a compulsory general anesthesia, implicating a high cost. The alternative of a screening method based on a non invasive method is required.",,['Colorectal Cancer'],INTERVENTIONAL,"Inclusion Criteria:

* age between 18 and 80 years
* patient able to give his informed consent
* No colorectal, intestinal inflammatory, ischemic or evolving infectious pathologies
* No signs of stenosis of small intestine or colon
* No contraindication to anesthesia
* No participation to an other clinical study
* Patient with and indication to colonoscopy for searching of a colorectal neoplasia during a screening program OR
* Patient for who a endoscopic following is required because of familial cases or personal cases of polyps or colorectal cancer

Exclusion Criteria:

* Presence of symptoms evocating an occlusive pathology
* Recent complicated colic diverticulosis
* No informed consent
* pregnancy or no use of efficient contraception treatment
* Patient with a pace-maker or others internal medical electronic device
* Evolved nephric or cardiac insufficiencies
* Hypersensibility to Fleet Phospho Soda (or one of the excipient), bisacodyl (or one of the excipient), motilium (or one of the excipient)
* Presence of a prolactinoma",False,ALL,18 Years,80 Years,"[{'pmid': '21039676', 'type': 'DERIVED', 'citation': 'Sacher-Huvelin S, Coron E, Gaudric M, Planche L, Benamouzig R, Maunoury V, Filoche B, Frederic M, Saurin JC, Subtil C, Lecleire S, Cellier C, Coumaros D, Heresbach D, Galmiche JP. Colon capsule endoscopy vs. colonoscopy in patients at average or increased risk of colorectal cancer. Aliment Pharmacol Ther. 2010 Nov;32(9):1145-53. doi: 10.1111/j.1365-2036.2010.04458.x. Epub 2010 Sep 16.'}]"
150334,NCT02827617,2024-12-31,ESTIMATED,The general aim of the project is the identification of dynamic molecular markers that can help the early and real time prediction of sustained benefit or no benefit from ibrutinib treatment in CLL harboring TP53 mutations. Specific aims of the project include: 1) Assess whether clearance of TP53 mutated clones translates into a predictive biomarker of long term benefit from ibrutinib treatment in CLL. 2) Assess whether plasma cell free DNA represents a sensitive tool that can early and dynamically inform on the development of ibrutinib resistant mutations in CLL.,"In the chemoimmunotherapy era, TP53 mutations defined a subgroup of high risk chronic lymphocytic leukemia (CLL) patients in whom allogeneic stem cell transplantation had to be strongly considered. As a result of the accumulating favorable outcome data reported for new biological drugs, including ibrutinib, in high risk CLL harboring TP53 mutations, there is concern about whether these patients should continue to be offered allogeneic stem cell transplantation. Despite their improved outcome, a proportion of high risk CLL harboring TP53 mutations is going to develop ibrutinib resistance, which in turns translate in a very poor survival. On these bases, in the setting of ibrutinib treatment, novel biomarkers are required to re-define high risk CLL patients candidate for consolidation strategies including allogeneic stem cell transplantation. Our working hypotheses are that: i) clearance of high risk TP53 mutated clones upon treatment with ibrutinib may associate with long progression free survival (PFS), while conversely, the persistence or increase of high risk TP53 mutated subclones under ibrutinib may associate with acquisition of resistance and disease progression; and ii) plasma cell free DNA represents an accessible source of tumor DNA for the early and sensitive identification of mutations causing resistance to ibrutinib. By using highly sensitive ultra-deep next generation sequencing strategies to monitor molecular biomarkers potentially relevant for ibrutinib in DNA coming from both cellular and the plasma fractions of peripheral blood, the project has the chance of identifying new dynamic molecular markers that can help the early and real time prediction of sustained benefit from ibrutinib treatment vs imminent progression in TP53 mutated CLL patients. In the end, the results of this study will provide the bases to refine the current approach for treatment tailoring in TP53 mutated patients by allowing the identification of cases who, though being in clinical response under ibrutinib, will conceivably benefit from immediate switch to alternative options (i.e. novel drugs, allogeneic stem cell transplantation, or CART).",['Chronic Lymphocytic Leukemia'],OBSERVATIONAL,"Inclusion Criteria:

* Male or female adults 18 years or older
* Documented diagnosis of CLL, according to iwCLL 2008 criteria
* Presence of TP53 mutation as demonstrated by sequencing at the local laboratory and/or presence of 17p deletion as demonstrated by fluorescence in situ hybridization (FISH) testing performed at the local laboratory
* CLL that warrants treatment
* Planned treatment with ibrutinib 420 mg quaque die
* Willing and able to comply with scheduled visits, laboratory tests, and study procedures
* Evidence of a signed informed consent

Exclusion Criteria:

* Current or prior histological transformation from CLL to an aggressive lymphoma (ie, Richter transformation).
* Prior treatment with ibrutinib or idelalisib",False,ALL,18 Years,,
467550,NCT01559311,2016-04,ACTUAL,The purpose of this clinical project is to evaluate the efficacy of the presence of Right Ventricular Apical (RVA) pacing induced ventricular dyssynchrony as a guiding parameter for bi-ventricular pacing in patients with bradycardia and normal left ventricular ejection fraction (LVEF). The results of this project may provide with the evidence based medicine for guidelines expansion of using Cardiac resynchronization therapy (CRT) in patients with Heart Block and normal LVEF (LVEF \>45%).,"All eligible patients willing to provide written informed consent were invited to participate in the study, and then randomized 1:2 to either the Control Group or Echo-guided Group. Patients randomized into the Control Group were implanted with a dual chamber pacemaker (DDDR) device (St. Jude Medical) standard therapy. Patients randomized into the Echo-guided Group were implanted with a cardiac resynchronization therapy pacemaker (CRT-P) device (St. Jude Medical), which was programmed to DDDR pacing mode (CRT-P OFF) at implant. For each Echo-guided Group patient, presence of RVA pacing induced ventricular dyssynchrony was assessed within 24-hour of implant using the standardized criteria of Doppler echocardiography. The Echocardiography Core Laboratory (Echo Core Lab) then analyzed each image and the treatment allocation of the Echo-guided Group was done within 72-hour post implant based on the Echo Core Lab outcomes:

* Patients with the presence of RVA pacing induced ventricular dyssynchrony were allocated to the CRT-P standard therapy with CRT-P turned ON
* Patients with the absence of RVA pacing induced ventricular dyssynchrony were allocated to the DDDR standard therapy with CRT-P remained OFF

Patients meeting all the inclusion criteria and not meeting any of the exclusion criteria were eligible for the study. Data was collected at the following study visits:Enrollment, Implant \& Randomization, Pre-discharge (PDH) (≤ 72 hours post implant), Month 1 follow-up visit: 30 ± 14 days post implant, Month 3 follow-up visit: 90 ± 14 days post implant, Month 6 follow-up visit: 180 ± 14 days post implant and Month 12 follow-up visit: 365 ± 14 days post implant",['Bradycardia'],INTERVENTIONAL,"Inclusion Criteria:

* Patient meets current indications for implantation of a DDDR pacemaker
* Patient is geographically stable and willing to comply with the required follow-up schedule
* Patient has LVEF \>45%
* Patient has atrioventricular block (IIo or above)
* Patient has adequate echocardiographic images to measure LV volumes and LVEF

Exclusion Criteria:

* Patient has permanent atrial fibrillation (AF)
* Patient has unstable angina or an acute coronary syndrome
* Patient has undergone percutaneous coronary intervention or coronary artery bypass surgery within the previous 3 months
* Patient's life expectancy is less than 1 year
* Patient is less than 18 years old
* Patient is pregnant
* Patient has received a heart transplant",False,ALL,18 Years,,
214610,NCT00744393,2009-12,ESTIMATED,"The purpose of this study is to determine what effect sodium oxybate has on the functions of sleep in mechanically ventilated, critically ill patients hospitalized in an intensive care unit.","Sleep is disrupted in the critically ill and may lead to impaired neurocognitive function, decreased immune function, increased protein catabolism, and may compromise the ability to wean patients from mechanical ventilation. Critically ill patients may appear to sleep throughout most of their stay, but their quality of sleep is different from that of a normal healthy subject.Critically ill patients spend more time in the wakefulness stages of sleep (Stage 1 and 2) at the expense of the restorative stages (Stage 3 and 4) and REM sleep. These patients also experience an increased number of arousals and awakenings. Various factors are thought to be the cause of abnormal sleep architecture: ICU environment, pain, illness severity, psychosocial stress, medications, and mechanical ventilation.

Sodium oxybate (Xyrem®) is the sodium salt of the central nervous system depressant γ-hydroxybutyric acid (GHB) and is currently approved for use in narcoleptic patients to improve cataplexy and excessive daytime sleepiness.

Studies evaluating the use of sodium oxybate in narcoleptic patients suggest that sodium oxybate is effective at increasing slow-wave sleep, sleep efficiency, sleep latency, and REM-sleep efficiency, while also decreasing REM-sleep latency, stage 1 NREM sleep and sleep fragmentation.3, 16-19 Currently there is a lack of data evaluating the effects of sodium oxybate on sleep in critically ill patients. Obtaining evidence that sodium oxybate improves sleep architecture in the critically ill, may provide the foundation to complete future studies evaluating the effect of sodium oxybate on clinical outcomes such as duration of mechanical ventilation and length of ICU stay. Based on sodium oxybate's ability to improve sleep architecture in narcoleptic patients along with the fact that critically ill patients have similar disrupted sleep architecture, it's postulated that sodium oxybate may improve the sleep architecture in critically ill patients.",['Mechanically Ventilated ICU Patients'],INTERVENTIONAL,"Inclusion Criteria:

* Age ≥ 18 years
* Mechanically ventilated ≥ 24º on an AC mode
* Placement of enteral or gastric tube (Note: these tubes will not be placed exclusively for the purposes of the study.)
* Tolerating enteral nutrition via either the stomach or small intestine (≥20mL/hr for ≥ 12 hours)

Exclusion Criteria:

* Anticipated duration of mechanical ventilation ≤72º (as per MICU team estimate)
* Riker SAS ≤ 2 (as determined by patient's nurse and/or study investigator)
* History of irreversible brain disease consistent with severe dementia based on MICU service admission note
* Admitted with a primary neurological condition (e.g. intracranial hemorrhage)
* History of seizure disorder or intracranial surgery
* History of myocardial infarction in prior 6 months
* Pregnancy (all women of child bearing potential will undergo a serum pregnancy test prior to study consent)
* Administration of a scheduled benzodiazepine as either a continuous drip or given by IVP
* Acute alcohol withdrawal
* AST/ALT \>2 times ULN, INR \>2 or T bilirubin \> 1.5
* Current or prior use of sodium oxybate in the -past 30 days.
* Hypernatremia with a serum sodium \>150
* Current use of the following hypnotics: barbiturates, melatonin, zolpidem, eszopiclone, or zaleplon
* Use of neuromuscular blocking agents
* Allergy to sodium oxybate
* Known succinic semialdehyde dehydrogenase deficiency
* History of periodic limb movement disorder.
* A prognosis considered to be hopeless (as per MICU team)
* Inability to obtain informed consent",False,ALL,18 Years,,
417884,NCT01168349,2010-12,ACTUAL,This observational study will evaluate the clinical benefit of NeoRecormon (epoetin beta) in daily routine practice in cancer patients with anemia. Data will be collected from patients who are receiving chemotherapy for a solid tumor or hematological malignancy. Patients will be followed for 28 weeks.,,"['Anemia, Neoplasms']",OBSERVATIONAL,"Inclusion Criteria:

* Adult patients, \>/=18 years of age
* Patients receiving myelosuppressive chemotherapy for a solid tumor, a hematological malignancy or an autograft for hematological malignancy
* Patients for whom treatment with epoetin beta is started at the inclusion visit
* Life expectancy \>/=6 months according to the physician
* Patients accepting and able to complete a French written questionnaire about his/her professional and social activities at each visit

Exclusion Criteria:

* Patients who received erythropoiesis-stimulating agents treatment, or red blood cell transfusion within 4 weeks before enrollment
* Participation in a clinical trial in onco-hematology
* Patients with myelodysplasia
* Patients with more than one active malignancy at the time of enrollment",False,ALL,18 Years,,
372430,NCT04043130,2020-06,ACTUAL,"This study used a randomized controlled design to evaluate the efficacy of a new mobile app, Pulse, in reducing the incidence of unprotected sex among young women. Pulse is a web-based mobile health application that can be accessed through mobile smartphones and computers. Pulse was designed to increase highly effective birth control use and reproductive and sexual health care utilization, and ultimately decrease teen pregnancy. The sample was comprised of 2,317 women aged 18-20 who, at enrollment, were not pregnant or trying to become pregnant, had daily access to a smartphone, were currently living in the United States or a U.S. territory, and spoke English. Most of the sample (86%) identified as Black and/or Latinx. The evaluation team enrolled participants over a two and a half year enrollment period using social media, including Facebook and Instagram.

Users accessed Pulse autonomously, on their own terms, and in their own time and place. The app consists of 6 sections and includes 3 hours of unique content. It does not require the user to follow a specific sequence of content viewed; however, all users received a monetary incentive after registering with the app. Young women randomized to the intervention condition were given access to Pulse indefinitely and received daily text messages related to sexual health for 6 weeks. Control participants were directed to a free general health/fitness web-based mobile application, also called Pulse, and received text messages related to general health for 6 weeks. The control and treatment apps look and feel similar aesthetically but contain different content. Participants in both the intervention and comparison groups received a baseline survey, a 6-week follow-up survey, and a 6-month follow-up survey (the 6-month follow-up survey was only administered to participants recruited between November 2018 and March 2019). Participants also received incentives for completing the baseline and post-intervention surveys. Both surveys were conducted online via an electronic survey platform. This study was conducted as a Rigorous Evaluation of New or Innovative Approaches to Prevent Teen Pregnancy funded by the U.S. Department of Health and Human Services' Office of Adolescent Health.",,"['Unprotected Sex', 'Contraceptive Usage']",INTERVENTIONAL,"Inclusion Criteria:

* Gender: Female
* Age Limit: 18-20
* Must have daily access to a smartphone that receives text messages and can access the Internet
* Must speak English
* Must live in the United States or a U.S. territory

Exclusion Criteria:

* Currently pregnant or trying to get pregnant",True,FEMALE,18 Years,20 Years,
209546,NCT01710878,2012-12,ACTUAL,Safety and performance of an anti-microbial vascular graft in the treatment of aneurysmal and occlusive disease of the abdominal aorta.,"The purpose of this multi center, single arm study is to demonstrate the safety and performance of the Second Generation Anti-Microbial (InterGard Synergy) vascular graft in the treatment of aneurismal and occlusive diseases of the abdominal aorta.

The primary endpoint is the assessment of primary and secondary graft patency. The secondary endpoints were the assessment of adverse events and the assessment of triclosan and silver contents in the serum over the time.",['Abdominal Aorta Aneurysm'],INTERVENTIONAL,"Inclusion Criteria:

Patient aged 18-85 years

Patient presenting with an aorto-iliac occlusion (obstruction of flow) or stenosis, or aorto-iliac aneurysm and eligible for a revascularization with a bifurcated graft

Exclusion Criteria:

Patient treated as an emergency

Patient included in another investigation

Patient pregnant or lactating or woman of childbearing potential

Patient with a known allergy to the material device used (collagen, triclosan, silver)

Patient with previous aorto-iliac bypass or replacement",False,ALL,18 Years,85 Years,
165779,NCT00883649,,,The purpose of this study is to determine the effectiveness of a nutritional supplement in post-menopausal women age 40 or older with moderate to severe dry eyes. This study is being conducted to determine if signs and symptoms of dry eye will improve with the use of this nutritional supplement.,,['Keratoconjunctivitis Sicca'],INTERVENTIONAL,"Inclusion Criteria:

* Signature on the written informed consent form
* Patient motivation and willingness to cooperate with the investigator by following the required medication regimen
* Patient willingness and ability to return for all visits during the study
* Rapid tear film break up time of eight seconds or less in at least one eye AND/OR
* Signs of meibomian gland dysfunction (MGD) including at least grade one lid notching, or the presence of orifice pustules
* At least grade one fluorescein superficial punctate keratitis (SPK) in at least one corneal quadrant or at least grade one conjunctival lissamine green staining in at least one eye.
* Ocular Surface Disease Index score of sixteen or greater.
* Willing to discontinue use of any current dry eye treatment (except artificial tears) for four weeks prior to randomization, and during the course of the six month study
* Post-menopausal women aged 40 years old or above. Post menopause is defined as absence of menstrual period for at least one year, or surgical hysterectomy with bilateral oophorectomy no less than six months prior
* If using transdermal, vaginal or systemic estrogen, progesterone, or estrogen derivatives, must be on a stable dose for at least 90 days, and be planning on staying on same stable dose for duration of the study

Exclusion Criteria:

* Concurrent involvement in any other clinical trial involving an investigational drug or device
* Compromised cognitive ability which may be expected to interfere with study compliance
* Uncontrolled or poorly controlled systemic disease (e.g., hypertension, diabetes) or the presence of any significant illness (e.g., serious gastrointestinal, renal, hepatic, endocrine, pulmonary, cardiac, neurological disease, cancer, AIDS, or cerebral dysfunction) that could, in the judgment of the investigator, jeopardize subject safety or interfere with the interpretation of the results of the study
* Known hypersensitivity to any components of the study or procedural medication
* Anticipated contact lens wear during the study
* History of corneal transplant
* Active ocular infection, uveitis or non-KCS inflammation
* History of recurrent herpes keratitis or active disease within the last six months
* History of cataract surgery within 3 months prior to enrollment
* History of ocular surface surgery (i.e. refractive, lasik, pterygium) within 6 months prior to enrollment
* corneal disorder or abnormality that affects corneal sensitivity or normal spreading of the tear film \[except superficial punctate keratitis (SPK)\]
* Use of systemic cyclosporine within prior 3 months
* Initiation, discontinuation or change in dosage of antihistamines, cholinergic agents, beta-blocking agents, tricyclic or SSRI antidepressants, phenothiazines, or topical or systemic acne rosacea medications in two months prior to enrollment, or anticipated change in dosage during course of study
* Topical ophthalmic medications within prior 4 weeks, or anticipated use of same during the study (except artificial tears)
* Use of Coumadin or Plavix within prior 2 weeks, or anticipated use of same during study. Stable dosing of aspirin 325mg or 85 mg per day is permitted.
* Use of fish oil, borage, evening primrose, flaxseed or black current seed oil supplements in the past three months
* Routine, usual dietary intake of more than 12 ounces of cold water fatty fish (tuna, salmon, mackerel, sea bass, sardines or herring) per week
* Occlusion of the lacrimal puncta either surgically or with temporary collagen punctal plugs within one month prior to study, or anticipated use of same during study
* A patient condition or situation which, in the judgment of the investigator, may put the patient at a significant risk, may confound the study results, or may interfere with the patient's participation in the study",False,FEMALE,40 Years,,"[{'pmid': '23884332', 'type': 'DERIVED', 'citation': 'Sheppard JD Jr, Singh R, McClellan AJ, Weikert MP, Scoper SV, Joly TJ, Whitley WO, Kakkar E, Pflugfelder SC. Long-term Supplementation With n-6 and n-3 PUFAs Improves Moderate-to-Severe Keratoconjunctivitis Sicca: A Randomized Double-Blind Clinical Trial. Cornea. 2013 Oct;32(10):1297-304. doi: 10.1097/ICO.0b013e318299549c.'}]"
359968,NCT02529865,2019-03-07,ACTUAL,The purpose of this study is to evaluate the efficacy and safety of periurethral injection of autologous Adipose Derived Regenerative Cells (ADRCs) in male stress urinary incontinence.,,"['Urinary Incontinence , Stress']",INTERVENTIONAL,"Inclusion Criteria:

* Males with stress urinary incontinence with insufficient effect by behavioral therapy or pharmacotherapy persisting more than 1 year after either of the following surgical procedure:

  * Patients with symptoms after radical prostatectomy for localized prostate cancer and currently without relapse/metastasis, and PSA level less than 0.1 ng/mL for over 1 year
  * Patients with symptoms after transurethral prostatectomy or laser prostatectomy for prostatic hyperplasia, and PSA level less than 4.0 ng/mL over 1 year
* Age of 20 or above
* Mild to moderate urinary incontinence on the 24-hour pad test
* Patients who can keep a bladder diary in a satisfactory manner
* Patients who are willing and able to give signed consent

Exclusion Criteria:

* - Concurrent with any other types of urinary incontinence
* History of urinary or reproductive surgery within 6 months
* History of behavioral therapy or pharmacotherapy within 3 months
* Concurrent with diabetes insipidus
* History of radiotherapy in the lower urinary tract
* History of ADRCs treatment for stress urinary incontinence
* History of any type of cell therapy within 6 months
* Participation in any other clinical trial within 3 months
* Concurrent with lower urinary tract obstruction
* Concurrent with urolithiasis, urinary tract infection or interstitial cystitis
* History of recurrent urinary tract infection
* History of malignant neoplasm within 5 years or a suspicion of it
* Life expectancy of less than 1 year
* Any other patients whom the trial investigator deemed ineligible to this study",False,MALE,20 Years,,"[{'pmid': '2403377', 'type': 'BACKGROUND', 'citation': 'Shaw CF 3rd, Isab AA, Coffer MT, Mirabelli CK. Gold(I) efflux from auranofin-treated red blood cells. Evidence for a glutathione-gold-albumin metabolite. Biochem Pharmacol. 1990 Sep 15;40(6):1227-34. doi: 10.1016/0006-2952(90)90387-z.'}, {'pmid': '2243546', 'type': 'BACKGROUND', 'citation': 'Hersh WR, Greenes RA. Information retrieval in medicine: state of the art. MD Comput. 1990 Sep-Oct;7(5):302-11.'}, {'pmid': '28946874', 'type': 'DERIVED', 'citation': 'Shimizu S, Yamamoto T, Nakayama S, Hirakawa A, Kuwatsuka Y, Funahashi Y, Matsukawa Y, Takanari K, Toriyama K, Kamei Y, Narimoto K, Yamanishi T, Ishizuka O, Mizuno M, Gotoh M. Design of a single-arm clinical trial of regenerative therapy by periurethral injection of adipose-derived regenerative cells for male stress urinary incontinence in Japan: the ADRESU study protocol. BMC Urol. 2017 Sep 25;17(1):89. doi: 10.1186/s12894-017-0282-7.'}]"
88408,NCT05098860,2023-04-15,ACTUAL,"The study aims to compare the effectiveness of soft tissue, joint mobilization, and tele-rehabilitation within the scope of Manual Therapy to the exercise program.","60 subjects with cervical degenerative disease will be included in the study after a voluntary consent form is filled out. Subjects will randomly be divided into 3 groups according to the order.

Group 1:Home Exercise Program: After a general education is given to the patients, an exercise program will be taught. Patients will be asked to do home exercises for 30-45 minutes once a day, 5 days a week for 8 weeks, and fill in follow-up charts. In addition, reminder messages will be sent to these patients once a week by the physiotherapist.

Group 2: Manual Therapy Group: After a general education is given to the patients, the same exercise program will be taught. Soft tissue and joint mobilizations will be applied to the patients in this group within the scope of Manual Therapy (MT). Mobilizations of the cervical vertebrae, scapula, and thoracic vertebrae will be included. MT will be applied to the patients 2 days a week for 8 weeks.

Group 3: Tele-Rehabilitation Group: After general education, treatment will be given in the zoom environment. During the 8 weeks, regularly planned exercises will be done via Zoom for 30-45 minutes 2 days a week, accompanied by a physiotherapist. Patients will apply active cervical and thoracic region mobilizations called self-mobilization. Patients will be taught active mobilization applications with the help of a towel for the cervical region, mobilization of the thoracic region with a foam roller. Patients will apply those self-mobilization at home in front of the physiotherapist in a visual environment. Patients in this group will regularly do the same home exercises on the other days without tele-rehabilitation.

Measurement and evaluation will be done four times, as pre-treatment, post-treatment (8th week), first follow-up (12 weeks), second follow-up (6th month).","['Cervical Spine Disease', 'Neck Pain']",INTERVENTIONAL,"Inclusion Criteria:

* Between the ages of 40-65
* Patients diagnosed with cervical degenerative disease
* Patients with neck pain who have had pain for at least three months
* Patients who can participate in the treatment program by following WhatsApp messages with tele-rehabilitation.

Exclusion Criteria:

* Patients with an indication for surgery for the cervical region and or a previous history of cervical surgery,
* Currently receiving treatment from another region,
* Having severe neurological loss,
* Having a primary or spinal metastatic malignancy,
* Having a vascular problem in the upper extremity,
* To be diagnosed with advanced osteoporosis,
* Being pregnant,
* Diagnosis of Diabetes Mellitus,
* Having an Inflammatory Disease (such as rheumatoid arthritis),
* Having a history of trauma,
* Those who have received physical therapy and rehabilitation for the cervical region in the last 6 months will not be included.",False,ALL,40 Years,65 Years,
